title, date, location, link, category, price
Ealing Business Expo: Mon 28 - Tue 29 September 2020,Mon| Sep 28| 11:00,DoubleTree by Hilton Hotel London - Ealing|2-8 Hanger Lane|Ealing|London|,https://www.eventbrite.co.uk/e/ealing-business-expo-mon-28-tue-29-september-2020-tickets-65810907195?aff=ebdssbdestsearch,business,Free
Boarding School Syndrome: The Psychological Trauma(s) of 'Privileged' Child...,Fri| Jun 12| 10:00,Broadway House|Tothill Street|London|SW1H 9NQ|,https://www.eventbrite.co.uk/e/boarding-school-syndrome-the-psychological-traumas-of-privileged-children-tickets-89558902087?aff=ebdssbdestsearch,business,From £110
The Indie Summit 2020,Tue| May 19| 18:00,The Royal College of Physicians|11 Saint Andrews Place|London|NW1 4LE|,https://www.eventbrite.co.uk/e/the-indie-summit-2020-tickets-81703263661?aff=ebdssbdestsearch,business,From £119.17
Brand Masterclass Workshop w/Branding expert Marty Neumeier *LONDON*,Mon| Apr 27| 08:30,Heron Tower|110 Bishopsgate|London|EC2N 4AY|,https://www.eventbrite.com/e/brand-masterclass-workshop-wbranding-expert-marty-neumeier-london-tickets-86348776515?aff=ebdssbdestsearch,business,Check event for more detail
Panel of Experts Discussing The State of Social Media in 2020 & Beyond!!!!,Wed| Apr 15| 18:30,The Wellington|91 Jermyn Street|London|SW1Y 6JB|,https://www.eventbrite.co.uk/e/panel-of-experts-discussing-the-state-of-social-media-in-2020-beyond-tickets-85567541821?aff=ebdssbdestsearch,business,£11.37
London ILS Conference 2020| from Trading Risk,Thu| Apr 23| 08:15,etc.venues Fenchurch Street|8 Fenchurch Place|London|EC3M 4PB|,https://www.eventbrite.co.uk/e/london-ils-conference-2020-from-trading-risk-tickets-84764517955?aff=ebdssbdestsearch,business,From £606.90
Think Student Live 2020,Thu| Jun 4| 09:00,Kings Place|90 York Way|London|N1 9AG|,https://www.eventbrite.co.uk/e/think-student-live-2020-tickets-93881252353?aff=ebdssbdestsearch,business,£100 - £300
DigitalAgenda Summit & Impact Awards 2020,Thu| Jun 18| 15:00,London|,https://www.eventbrite.co.uk/e/digitalagenda-summit-impact-awards-2020-tickets-86695523645?aff=ebdssbdestsearch,business,From £39.19
Alternative ways to make a living: An evening with Mr Bingo,Tue| Apr 14| 19:00,The Guardian • London,https://www.eventbrite.co.uk/e/alternative-ways-to-make-a-living-an-evening-with-mr-bingo-tickets-86478408247?aff=ebdssbdestsearch,business,Check event for more detail
outREACH Conference 2020,Fri| Jun 12| 09:00,Congress Centre|28 Great Russell Street|London|WC1B 3LN|,https://www.eventbrite.co.uk/e/outreach-conference-2020-tickets-91335014487?aff=ebdssbdestsearch,business,£358.80
Innovation Circus 2020 - Attraction & Experience,Thu| May 14| 09:00,The Knowledge Centre|The British Library|96 Euston Road|London|,https://www.eventbrite.co.uk/e/innovation-circus-2020-attraction-experience-tickets-89560346407?aff=ebdssbdestsearch,business,£45 - £86.83
Women Returners Back to Your Future Conference 2020,Wed| May 20| 09:00,10 Union Street|London Bridge|London|SE1 1SZ|,https://www.eventbrite.co.uk/e/women-returners-back-to-your-future-conference-2020-tickets-89044670005?aff=ebdssbdestsearch,"business,community",£90
Examining Doctors' Conference,Thu| May 7| 09:30,One Moorgate Place|London|EC2T 6EA|,https://www.eventbrite.co.uk/e/examining-doctors-conference-tickets-69989972893?aff=ebdssbdestsearch,"business,health",£342 - £486
TalentTech Rising - 23rd April 2020,Thu| Apr 23| 08:30,Vue Leicester Square|3 Cranbourn Street|London|WC2H 7AL|,https://www.eventbrite.co.uk/e/talenttech-rising-23rd-april-2020-tickets-88819153479?aff=ebdssbdestsearch,"business,science-and-tech",£11.37
National Freelancers Day 2020,Thu| Jun 18| 10:00,Kings Place|90 York Way|London|N1 9AG|,https://www.eventbrite.com/e/national-freelancers-day-2020-tickets-89810558799?aff=ebdssbdestsearch,business,£30 - £45
The Big Yak 2020,Sat| Jun 6| 09:30,etc.venues Chancery Lane|50-52 Chancery Lane|London|WC2A 1HL|,https://www.eventbrite.co.uk/e/the-big-yak-2020-tickets-95564831985?aff=ebdssbdestsearch,business,£9.99
Mapping Dance & Dance Teaching: Past(s)| Present & Future(s),Fri| Sep 4| 09:00,University of Roehampton London|Roehampton Lane|London|SW15 5PU|,https://www.eventbrite.co.uk/e/mapping-dance-dance-teaching-pasts-present-futures-tickets-74995815503?aff=ebdssbdestsearch,"business,sports-and-fitness,arts",From £164.40
BSI Standards Conference,Thu| Apr 23| 09:00,Central Hall Westminster|Storey's Gate|London|SW1H 9NH|,https://www.eventbrite.co.uk/e/bsi-standards-conference-registration-92685955187?aff=ebdssbdestsearch,business,Free
How To Succeed In Your Career (Without Betraying Your Values),Thu| Apr 23| 18:45,Conway Hall|25 Red Lion Square|London|WC1R 4RL|,https://www.eventbrite.com/e/how-to-succeed-in-your-career-without-betraying-your-values-tickets-93882425863?aff=ebdssbdestsearch,business,From £32.16
Make Your Mark 2020,Mon| Jun 15| 10:30,Goldsmiths' Hall|Foster Lane|London|EC2V 6BN|,https://www.eventbrite.co.uk/e/make-your-mark-2020-tickets-90596391245?aff=ebdssbdestsearch,"business,community",Free
4th BME Early Career Researcher Conference 2020,Fri| Apr 24| 09:30,G34| Sir Alexander Fleming Building| Imperial College London|Imperial College Road|London|SW7 2AZ|,https://www.eventbrite.co.uk/e/4th-bme-early-career-researcher-conference-2020-tickets-88826457325?aff=ebdssbdestsearch,"business,science-and-tech",£4.48 - £10
Product Strategy and Product Roadmap Training,Tue| Apr 28| 09:00,15Hatfields • London,https://www.eventbrite.co.uk/e/product-strategy-and-product-roadmap-training-tickets-79318568975?aff=ebdssbdestsearch,business,Check event for more detail
Lloyds Bank UK Consumer Digital Index 2020 Launch Event,Thu| May 21| 09:00,Guildhall|Gresham Street|London|EC2 7HH|,https://www.eventbrite.co.uk/e/lloyds-bank-uk-consumer-digital-index-2020-launch-event-tickets-92878105915?aff=ebdssbdestsearch,"business,science-and-tech",Free
Commercial Contracts: Recent Developments,Thu| May 14| 09:30,UCL Faculty of Laws|Bentham House|4-8 Endsleigh Gardens|London|,https://www.eventbrite.co.uk/e/commercial-contracts-recent-developments-tickets-93496132449?aff=ebdssbdestsearch,"business,community",£30 - £150
The Hidden Nature of Sibling Sexual Abuse: When Sexually Harmful Behaviour...,Fri| May 1| 10:00,Holiday Inn Kensington • London,https://www.eventbrite.co.uk/e/the-hidden-nature-of-sibling-sexual-abuse-when-sexually-harmful-behaviour-masquerades-as-consensual-tickets-90291567509?aff=ebdssbdestsearch,business,Check event for more detail
Critical Thinking,Wed| Apr 22| 18:00,Museum of London|150 London Wall|London|EC2Y 5HN|,https://www.eventbrite.com/e/critical-thinking-tickets-72061767687?aff=ebdssbdestsearch,business,Free
Brownfield Summit 2020,Tue| May 12| 09:00,De Vere Grand Connaught Rooms|61-65 Great Queen Street|London|WC2B 5DA|,https://www.eventbrite.co.uk/e/brownfield-summit-2020-tickets-81323501783?aff=ebdssbdestsearch,"business,community",£150 - £750
The Leading Role (3 days),Tue| May 5| 09:00 + 1 more event,RADA Studios|16 Chenies Street|London|WC1E 7EX|,https://www.eventbrite.co.uk/e/the-leading-role-3-days-tickets-32184856773?aff=ebdssbdestsearch,business,£5|100 - £6|753.54
The World's BIGGEST Youth Business Fair EVER| EVER| EVER,Sun| Jul 19| 12:00,London|TBC|London|TBC|,https://www.eventbrite.co.uk/e/the-worlds-biggest-youth-business-fair-ever-ever-ever-tickets-88303685701?aff=ebdssbdestsearch,"business,community,science-and-tech,music",Free
CBI Conference Series: Diversity & Inclusion,Tue| Apr 28| 08:00,etc. Venues| St. Paul's|200 Aldersgate|St. Paul's|London| EC1A|,https://www.eventbrite.co.uk/e/cbi-conference-series-diversity-inclusion-tickets-85968093883?aff=ebdssbdestsearch,business,£0 - £540
She Is STILL Sustainable - for mid career women working in sustainability,Mon| Apr 27| 13:00,Tideway London Bridge|Cottons Lane|London|SE1 2QG|,https://www.eventbrite.co.uk/e/she-is-still-sustainable-for-mid-career-women-working-in-sustainability-tickets-94224649463?aff=ebdssbdestsearch,business,£70
DATACENTRE.ME “Data Centre Infrastructure” NETWORKING SESSION - TUESDAY 12 ...,Tue| May 12| 17:00,Venue in central London - full details to be supplied upon registration,https://www.eventbrite.co.uk/e/datacentreme-data-centre-infrastructure-networking-session-tuesday-12-may-2020-tickets-60093702883?aff=ebdssbdestsearch,"business,science-and-tech",Check event for more detail
Spotify's Approach to Launching in India by Spotify Growth PM,Thu| Apr 9| 18:30,Product School London • London,https://www.eventbrite.com/e/spotifys-approach-to-launching-in-india-by-spotify-growth-pm-tickets-89218058615?aff=ebdssbdestsearch,"business,science-and-tech",Check event for more detail
Leadership,Tue| Jun 2| 09:40 + 1 more event,The School of Life|70 Marchmont Street|London|WC1N 1AB|,https://www.eventbrite.co.uk/e/leadership-tickets-62969837479?aff=ebdssbdestsearch,business,£106.13 - £117.85
Africa Tech Summit London,Fri| May 22| 08:00,London Stock Exchange|10 Paternoster Square|London|EC4M 7LS|,https://www.eventbrite.co.uk/e/africa-tech-summit-london-tickets-87046365021?aff=ebdssbdestsearch,"business,science-and-tech",£210 - £540
simplyIC 2020,Mon| May 18| 09:00,etc Venue St Paul's|200 Aldersgate St|London|EC1A 4HD|,https://www.eventbrite.co.uk/e/simplyic-2020-tickets-85973827031?aff=ebdssbdestsearch,business,£395 - £995
Attachment Informed Grief Therapy: Interventions to create safety| strength...,Fri| May 15| 10:00,Broadway House • London,https://www.eventbrite.co.uk/e/attachment-informed-grief-therapy-interventions-to-create-safety-strengthen-self-capacities-and-tickets-92694542873?aff=ebdssbdestsearch,business,Check event for more detail
Building for the Next Billion by Google Product Manager,Thu| Jul 9| 18:30,Product School London • London,https://www.eventbrite.com/e/building-for-the-next-billion-by-google-product-manager-tickets-88638463029?aff=ebdssbdestsearch,"business,science-and-tech",Check event for more detail
RIBA London (London PM) - Managing client relationships: how effective comm...,Tue| Apr 28| 18:00,RIBA|66 Portland Place|London|W1B 1AD|,https://www.eventbrite.co.uk/e/riba-london-london-pm-managing-client-relationships-how-effective-communication-and-documentation-tickets-66565351759?aff=ebdssbdestsearch,business,£18 - £112.80
Interactions EMEA 2020,Mon| Jun 15| 08:00,Tobacco Dock|50 Porters Walk|London|E1W 2SF|,https://www.eventbrite.co.uk/e/interactions-emea-2020-registration-77275829085?aff=ebdssbdestsearch,"business,community",From £238.80
Family Business Of The Year Awards 2020,Thu| Jun 4| 19:00,The May Fair Hotel|Stratton Street|London|W1J 8LT|,https://www.eventbrite.co.uk/e/family-business-of-the-year-awards-2020-tickets-64790525205?aff=ebdssbdestsearch,business,£78
Birketts'  Spring 2020 London Construction Law Conference,Tue| Apr 28| 08:30,One Great George Street - Westminster|One Great George Street|(Institution of Civil Engineers)|London|,https://www.eventbrite.co.uk/e/birketts-spring-2020-london-construction-law-conference-tickets-95861314773?aff=ebdssbdestsearch,business,£102
How to Become a Non-Executive Director,Thu| Jul 2| 18:00,Central London|London|TBC|London|,https://www.eventbrite.co.uk/e/how-to-become-a-non-executive-director-tickets-85951732947?aff=ebdssbdestsearch,"business,community",£69.49
Getting ahead: Law careers workshop and open evening (London Holborn),Wed| Jul 1| 17:15,BPP London Holborn|68-70 Red Lion St|London|WC1R 4NY|,https://www.eventbrite.co.uk/e/getting-ahead-law-careers-workshop-and-open-evening-london-holborn-tickets-73249444059?aff=ebdssbdestsearch,business,Free
CIPR Corporate and Financial Group Annual Dinner 21 May 2020 -speaker Gilli...,Thu| May 21| 18:30,The Lansdowne Club • London,https://www.eventbrite.co.uk/e/cipr-corporate-and-financial-group-annual-dinner-21-may-2020-speaker-gillian-tett-chair-of-the-tickets-52956349868?aff=ebdssbdestsearch,business,Check event for more detail
Carriere Philosophy 2020 - Dental Day Course,Fri| Apr 24| 09:00,30 Euston Square • London,https://www.eventbrite.co.uk/e/carriere-philosophy-2020-dental-day-course-tickets-56033430499?aff=ebdssbdestsearch,"business,health",Check event for more detail
How to Build a Successful Commercial Property Portfolio Weekend Workshop,Sat| May 23| 09:00,The Wesley Conference Centre|81-103 Euston St|London|NW1 2EZ|,https://www.eventbrite.co.uk/e/how-to-build-a-successful-commercial-property-portfolio-weekend-workshop-tickets-75689361919?aff=ebdssbdestsearch,business,From £1|676.40
Developing your presence| power and influence: An evening class with LSE Pr...,Tue| Jun 2| 19:00,The Guardian • London,https://www.eventbrite.co.uk/e/developing-your-presence-power-and-influence-an-evening-class-with-lse-professor-dr-connson-locke-tickets-92682256123?aff=ebdssbdestsearch,business,Check event for more detail
ALIZÉ DEMANGE STYLING MASTERCLASS,Sun| Apr 19| 10:00,The Hoxton| Southwark|Blackfriars Road|London|SE1 8PB|,https://www.eventbrite.co.uk/e/alize-demange-styling-masterclass-tickets-91836939759?aff=ebdssbdestsearch,business,£162.29
WSTA Incoterms post-Brexit Workshop,Tue| Apr 28| 10:00,Marlin Waterloo • London,https://www.eventbrite.co.uk/e/wsta-incoterms-post-brexit-workshop-tickets-95352123769?aff=ebdssbdestsearch,business,Check event for more detail
Finance and Accounting 2020 Annual Symposium,Thu| Jun 18| 09:00,University of Westminster (Marylebone Campus)|35 Marylebone Road|35 Marylebone Road|London|,https://www.eventbrite.co.uk/e/finance-and-accounting-2020-annual-symposium-registration-77327004151?aff=ebdssbdestsearch,business,Free
RegTech Expo Canary Wharf 2020,Thu| Nov 19| 09:00,EAST WINTERGARDEN|43 Bank St|Canary Wharf|E14 5NX|,https://www.eventbrite.co.uk/e/regtech-expo-canary-wharf-2020-tickets-83586129363?aff=ebdssbdestsearch,"business,science-and-tech",Free
London Investor Show 2020,Fri| Oct 30| 09:30,Novotel London West|1 Shortlands|London|W6 8DR|,https://www.eventbrite.co.uk/e/london-investor-show-2020-tickets-86489202533?aff=ebdssbdestsearch,business,£0 - £135.34
Understanding Advanced Facebook Ad Funnels in Estate Agency,Thu| Apr 23| 09:30,Eight Members Club Moorgate|1 Dysart Street|London|EC2A 2BX|,https://www.eventbrite.co.uk/e/understanding-advanced-facebook-ad-funnels-in-estate-agency-tickets-92797851873?aff=ebdssbdestsearch,business,From £135.34
European Paediatric Advanced Life Support (EPALS) - Chelsea and Westminster...,Wed| Apr 22| 08:00,Chelsea and Westminster Hospital|Fulham Road|London|SW10 9NH|,https://www.eventbrite.co.uk/e/european-paediatric-advanced-life-support-epals-chelsea-and-westminster-hospital-22nd-april-2020-tickets-59222834091?aff=ebdssbdestsearch,"business,health",£443
Substribe Summit 2020 - the future of b2b subscriptions,Wed| Apr 29| 08:00,Events @ No 6|6 Alie Street|London|E1 8QT|,https://www.eventbrite.co.uk/e/substribe-summit-2020-the-future-of-b2b-subscriptions-tickets-79127226665?aff=ebdssbdestsearch,"business,science-and-tech",£714 - £834
Roxhill Breakfast Event: Sustainable Travel in 2020,Thu| Apr 30| 08:30,Belmond Cadogan Hotel|75 Sloane St|Chelsea|London|,https://www.eventbrite.co.uk/e/roxhill-breakfast-event-sustainable-travel-in-2020-registration-92332004511?aff=ebdssbdestsearch,business,£20
The End of Life Care Clinical Network| Annual Conference,Tue| Apr 28| 08:30,The Wesley Euston Hotel & Conference Venue|81-103 Euston Street|London|NW1 2EZ|,https://www.eventbrite.co.uk/e/the-end-of-life-care-clinical-network-annual-conference-tickets-89217165945?aff=ebdssbdestsearch,"business,health",Free
InsiderTech London Conference 2020| from Insurance Insider,Thu| May 21| 08:00,etc.venues Fenchurch Street|8 Fenchurch Place|London|EC3M 4PB|,https://www.eventbrite.co.uk/e/insidertech-london-conference-2020-from-insurance-insider-tickets-89050439261?aff=ebdssbdestsearch,"business,science-and-tech",£474 - £1|074
Postponed - new date to be released. ERA Conference 2020 & Researcher of t...,Tue| Apr 28| 09:30,Sadler's Wells Theatre|London|EC1R 4TN|,https://www.eventbrite.co.uk/e/postponed-new-date-to-be-released-era-conference-2020-researcher-of-the-year-award-roty-tickets-67979836521?aff=ebdssbdestsearch,"business,science-and-tech",£65.27 - £162.29
Approved Clinician - Refresher Course - May 2020,Thu| May 21| 09:00,Events @ No 6|6 Alie Street|London|E1 8QT|,https://www.eventbrite.co.uk/e/approved-clinician-refresher-course-may-2020-tickets-86916504605?aff=ebdssbdestsearch,"business,health",£215
British-Polish Business Insights Lunch April 2020,Wed| Apr 22| 12:00,Embassy of the Republic of Poland in London • London,https://www.eventbrite.com/e/british-polish-business-insights-lunch-april-2020-registration-91057297829?aff=ebdssbdestsearch,business,Check event for more detail
Net Impact Approaches 2020,Wed| May 20| 08:15,15 Hatfields|Chadwick Court|London|SE1 8DJ|,https://www.eventbrite.co.uk/e/net-impact-approaches-2020-tickets-85691277919?aff=ebdssbdestsearch,business,£318 - £762
London Jobs Fair East 2020,Wed| Apr 22| 10:00,Pembury Community Centre • Hackney,https://www.eventbrite.co.uk/e/london-jobs-fair-east-2020-tickets-92175915645?aff=ebdssbdestsearch,business,Check event for more detail
Employment Law Seminar 2020 - LONDON,Thu| Apr 30| 14:00,Woburn House Conference Centre|20 - 24 Tavistock Square|WC1H 9HQ|,https://www.eventbrite.co.uk/e/employment-law-seminar-2020-london-tickets-89090723753?aff=ebdssbdestsearch,business,£0 - £95
Creating a Powerful Leadership Presence (3 days),Tue| Apr 28| 09:00 + 1 more event,RADA Studios|16 Chenies Street|London|WC1E 7EY|,https://www.eventbrite.co.uk/e/creating-a-powerful-leadership-presence-3-days-tickets-58786831997?aff=ebdssbdestsearch,business,£4|200
myHRparty 22.04.20 London,Wed| Apr 22| 18:30,Skinner's Cafe|The Leather Market|London Bridge|London|,https://www.eventbrite.co.uk/e/myhrparty-220420-london-tickets-89581124555?aff=ebdssbdestsearch,business,Free
The Teacher Empowerment Event - London,Sat| May 2| 10:00,London Academy of Excellence Tottenham|Lilywhite House|780 High Road|London|,https://www.eventbrite.co.uk/e/the-teacher-empowerment-event-london-tickets-91629184357?aff=ebdssbdestsearch,business,£0 - £16.76
Integrating and Working with PTSD and Complex PTSD: conceptualisation| chal...,Fri| Jun 5| 10:00,Holiday Inn Kensington|Wrights Lane|London|W8 5SP|,https://www.eventbrite.co.uk/e/integrating-and-working-with-ptsd-and-complex-ptsd-conceptualisation-challenges-and-effective-tickets-93259927955?aff=ebdssbdestsearch,"business,health",£199 - £249
NFB Heritage Conference 2020,Wed| Sep 9| 10:00,Tower of London|St Katharine's & Wapping|London|EC3N 4AB|,https://www.eventbrite.co.uk/e/nfb-heritage-conference-2020-tickets-69185929979?aff=ebdssbdestsearch,business,From £77.27
Repairing a Ruptured Attachment Relationship,Fri| May 22| 10:00,Broadway House • London,https://www.eventbrite.co.uk/e/repairing-a-ruptured-attachment-relationship-tickets-94110305457?aff=ebdssbdestsearch,business,Check event for more detail
ISACA London Chapter Event 'Governance & Risk Management' Thursday 16th Apr...,Thu| Apr 16| 18:00,CCT Venues - Docklands [Sugar Suite] • London,https://www.eventbrite.co.uk/e/isaca-london-chapter-event-governance-risk-management-thursday-16th-april-2020-tickets-94141081509?aff=ebdssbdestsearch,business,Check event for more detail
Long Service Awards - Photo Shoot (LONDON),Tue| Apr 21| 11:00,E1 8DE|9 Alie Street|Boardroom| basement|London|,https://www.eventbrite.co.uk/e/long-service-awards-photo-shoot-london-tickets-94134951173?aff=ebdssbdestsearch,business,Free
Barts Freshers 1970 Reunion Dinner,Sat| Sep 26| 18:30,St Bartholomew's Hospital|West Smithfield|London|EC1A 7BE|,https://www.eventbrite.co.uk/e/barts-freshers-1970-reunion-dinner-tickets-95803782693?aff=ebdssbdestsearch,"business,health,community",£90
Digital Construction Summit 2020,Wed| Jun 3| 08:30,One America Square|London|EC3N 2LB|,https://www.eventbrite.co.uk/e/digital-construction-summit-2020-tickets-89730322811?aff=ebdssbdestsearch,business,From £238.80
Financial Crime Expo - Canary Wharf 2020 www.financialcrimeexpo.co.uk,Thu| Nov 19| 09:00,EAST WINTERGARDEN|43 Bank St|Canary Wharf|E14 5NX|,https://www.eventbrite.co.uk/e/financial-crime-expo-canary-wharf-2020-wwwfinancialcrimeexpocouk-tickets-92732251661?aff=ebdssbdestsearch,"business,community",Free
Kickstart Your Career Change: Accelerator Taster,Thu| Jun 18| 19:00,Work.Life Soho|Waverley House| 9 Noel St|Soho|London|,https://www.eventbrite.co.uk/e/kickstart-your-career-change-accelerator-taster-tickets-48914857656?aff=ebdssbdestsearch,business,Free
SPN Networking Gala Dinner,Sat| Apr 11| 18:30,Holiday Inn London - Brentford Lock|Commerce Road|London|TW8 8GA|,https://www.eventbrite.com/e/spn-networking-gala-dinner-tickets-94722115397?aff=ebdssbdestsearch,"business,community",£40
Kingston Business Expo 2020,Tue| Jun 23| 09:30,Kingston University Business School||Kingston Hill Campus|Kingston Hill|Kingston upon Thames|,https://www.eventbrite.co.uk/e/kingston-business-expo-2020-tickets-91444217115?aff=ebdssbdestsearch,business,Free
2020 Customer Engagement Transformation Conference,Thu| Jul 9| 08:15,Park Plaza Victoria London • London,https://www.eventbrite.co.uk/e/2020-customer-engagement-transformation-conference-tickets-66466953447?aff=ebdssbdestsearch,business,Check event for more detail
Forex Network London 2020,Wed| Apr 29| 08:30,Leonardo Royal Hotel|10 Godliman Street|London|EC4V 5AJ|,https://www.eventbrite.co.uk/e/forex-network-london-2020-tickets-89587032225?aff=ebdssbdestsearch,business,£0 - £1|800
Data visualisation: A one-day workshop,Fri| Apr 24| 10:00,The Guardian|Kings Place|90 York Way|London|,https://www.eventbrite.co.uk/e/data-visualisation-a-one-day-workshop-tickets-86315727665?aff=ebdssbdestsearch,business,£306.80
IFGS 2020,Mon| Apr 20| 08:30,Guildhall|Gresham St|London|EC2V 7HH|,https://www.eventbrite.co.uk/e/ifgs-2020-tickets-91289574575?aff=ebdssbdestsearch,"business,science-and-tech",Free
RIBA Future Leaders 2020: Leading Teams,Thu| May 7| 13:00,Royal Institute of British Architects|66 Portland Place|Westminister|London|,https://www.eventbrite.co.uk/e/riba-future-leaders-2020-leading-teams-tickets-91753758963?aff=ebdssbdestsearch,business,£50 - £380
